STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19440222,   67.5,23,   61.0,23, 1023.8,23, 9999.9, 0,   3.6,23,   6.5,23,  15.9, 999.9,   82.4*,  59.4*, 0.00I,999.9, 100000,
722146,12816, 19440223,   68.6,24,   61.6,24, 1019.7,24, 9999.9, 0,  43.6,24,   7.3,24,  12.0, 999.9,   80.2*,  60.3*, 0.00I,999.9, 100000,
722146,12816, 19440224,   68.9,24,   61.3,24, 1018.8,24, 9999.9, 0,  47.9,24,   8.3,24,  13.0, 999.9,   80.2*,  62.4*, 0.00I,999.9, 100000,
722146,12816, 19440225,   70.5,24,   61.5,24, 1019.1,24, 9999.9, 0,  48.1,24,   6.8,24,  12.0, 999.9,   82.4*,  61.3*, 0.00I,999.9, 000000,
722146,12816, 19440226,   70.2,24,   58.4,24, 1019.0,24, 9999.9, 0,  39.7,24,   7.2,24,  15.0, 999.9,   82.4*,  62.4*, 0.00I,999.9, 100000,
722146,12816, 19440227,   66.0,24,   54.1,24, 1020.4,24, 9999.9, 0,  63.3,24,   5.6,24,  11.1, 999.9,   84.4*,  55.4*, 0.00I,999.9, 100000,
722146,12816, 19440228,   63.8,24,   53.8,24, 1017.5,24, 9999.9, 0,  39.9,24,   6.0,24,  15.9, 999.9,   80.2*,  49.3*, 0.00I,999.9, 100000,
722146,12816, 19440229,   67.6,24,   59.4,24, 1013.1,24, 9999.9, 0,  35.6,24,   9.3,24,  19.0, 999.9,   77.4*,  60.3*,99.99 ,999.9, 010000,
722146,12816, 19440301,   54.0,24,   36.7,24, 1019.1,24, 9999.9, 0,  13.5,24,   7.6,24,   9.9, 999.9,   63.3*,  44.4*, 0.00I,999.9, 000000,
722146,12816, 19440302,   51.8,24,   43.0,24, 1022.5,24, 9999.9, 0,   3.5,24,   7.6,24,  13.0, 999.9,   70.3*,  37.4*, 0.00I,999.9, 000000,
722146,12816, 19440303,   58.3,24,   48.3,24, 1022.2,24, 9999.9, 0,  20.3,24,   6.5,24,  13.0, 999.9,   76.3*,  44.4*, 0.00I,999.9, 000000,
722146,12816, 19440304,   66.1,24,   57.7,24, 1017.1,24, 9999.9, 0,   4.8,24,   9.3,24,  23.9, 999.9,   78.3*,  55.4*, 0.00I,999.9, 000000,
722146,12816, 19440305,   71.5,24,   64.7,24, 1015.2,24, 9999.9, 0,   5.4,24,  10.3,24,  14.0, 999.9,   81.3*,  65.3*, 0.00I,999.9, 100000,
722146,12816, 19440306,   71.6,24,   63.1,24, 1016.4,24, 9999.9, 0,  27.3,24,   7.4,24,  16.9, 999.9,   85.3*,  62.4*, 0.00I,999.9, 100000,
722146,12816, 19440307,   68.0,24,   59.9,24, 1012.5,23, 9999.9, 0,   4.3,24,  10.9,24,  15.9, 999.9,   76.3*,  53.4*,99.99 ,999.9, 010010,
722146,12816, 19440308,   51.2,24,   34.1,24, 1022.0,24, 9999.9, 0,  56.5,24,   8.5,24,  20.0, 999.9,   63.3*,  38.3*, 0.00I,999.9, 000000,
722146,12816, 19440309,   47.5,24,   30.0,24, 1029.7,24, 9999.9, 0,  41.4,24,   6.1,24,  11.1, 999.9,   60.3*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440310,   52.1,24,   38.1,24, 1029.6,24, 9999.9, 0,   4.2,24,   6.0,24,  13.0, 999.9,   64.4*,  40.3*, 0.00I,999.9, 000000,
722146,12816, 19440311,   57.8,24,   53.3,24, 1023.5,24, 9999.9, 0,   4.8,24,   7.5,24,  12.0, 999.9,   62.4*,  46.4*,99.99 ,999.9, 010000,
722146,12816, 19440312,   66.7,24,   62.4,24, 1016.2,24, 9999.9, 0,  27.9,24,   9.0,24,  15.9, 999.9,   74.3*,  62.4*,99.99 ,999.9, 010000,
722146,12816, 19440313,   63.7,24,   55.2,24, 1020.5,24, 9999.9, 0,  71.3,24,   5.0,24,   9.9, 999.9,   75.4*,  50.4*,99.99 ,999.9, 010000,
722146,12816, 19440314,   62.4,24,   50.4,24, 1025.0,24, 9999.9, 0,  75.8,24,   6.9,24,  11.1, 999.9,   78.3*,  48.4*, 0.00I,999.9, 000000,
722146,12816, 19440315,   62.7,24,   49.6,24, 1024.4,24, 9999.9, 0,  44.4,24,   6.1,24,  13.0, 999.9,   74.3*,  48.4*, 0.00I,999.9, 000000,
722146,12816, 19440316,   63.6,24,   52.4,24, 1019.4,24, 9999.9, 0,   9.1,24,   6.2,24,  14.0, 999.9,   77.4*,  49.3*, 0.00I,999.9, 000000,
722146,12816, 19440317,   64.0,24,   58.4,23, 1013.9,24, 9999.9, 0,  20.9,24,   9.0,24,  19.0, 999.9,   71.2*,  56.3*,99.99 ,999.9, 010000,
722146,12816, 19440318,   69.7,24,   64.9,24, 1015.0,24, 9999.9, 0,  27.7,24,   7.3,24,  13.0, 999.9,   80.2*,  63.3*, 0.00I,999.9, 100000,
722146,12816, 19440319,   72.0,24,   64.8,24, 1013.5,24, 9999.9, 0,  62.5,24,  10.0,24,  21.0, 999.9,   87.3*,  62.4*, 0.00I,999.9, 100000,
722146,12816, 19440320,   71.7, 5,   67.4, 5, 1009.4, 5, 9999.9, 0,  99.4, 5,  12.4, 5,  13.0, 999.9,   74.3*,  69.3*, 0.00I,999.9, 000000,
